CBSA,MSA,Black Population,White Population (Non Hispanic),Hispanic Population,Asian Population,Black-White Dissimilarity ,Hispanic-NonHispanic Dissimilarity ,Asian-White Dissimilarity ,Hispanic-NonHispanic White  Dissimilarity ,Hispanic White-NonHispanic Black,H-NH Black
44100,"Springfield, IL","25,010","171,916","4,539","3,783",0.571,,,,,
44140,"Springfield, MA","41,990","501,076","123,605","19,694",0.632,0.574,0.471,0.622,0.416,0.402
44180,"Springfield, MO","10,396","411,116","14,164","5,965",0.498,0.302,,0.314,,0.421
44220,"Springfield, OH","10,984","114,419","4,300",858,0.617,,,,,
44700,"Stockton, CA","48,175","240,170","295,606","106,817",0.468,0.274,0.480,0.330,0.394,0.370
44940,"Sumter, SC","66,833","65,250","5,115","1,344",0.333,,,,,
45060,"Syracuse, NY","52,499","540,810","26,285","19,432",0.664,0.377,0.555,0.439,0.493,0.421
45220,"Tallahassee, FL","123,067","211,742","23,840","9,927",0.432,0.256,,0.316,0.410,0.380
45300,"Tampa-St. Petersburg-Clearwater, FL","338,273","1,911,274","549,477","97,982",0.548,0.349,0.425,0.402,0.450,0.425
45500,"Texarkana, TX-AR","35,598","99,889","8,682","1,091",0.432,,,,,
45780,"Toledo, OH","85,130","490,881","42,059","9,769",0.635,0.323,,0.363,0.564,0.529
45820,"Topeka, KS","13,942","183,117","23,090","2,309",0.542,0.367,,0.409,0.352,0.303
45940,"Trenton-Princeton, NJ","73,583","189,649","63,157","39,918",0.624,0.467,0.450,0.556,0.428,0.417
46060,"Tucson, AZ","32,055","529,974","368,612","26,646",0.435,0.416,0.340,0.448,0.443,0.435
46140,"Tulsa, OK","76,744","644,092","92,047","21,844",0.566,0.433,0.481,0.471,0.460,0.445
46220,"Tuscaloosa, AL","87,647","145,865","8,251","3,159",0.540,,,,,
46300,"Twin Falls, ID",548,"80,514","20,807","1,401",,0.267,,0.266,,
46340,"Tyler, TX","38,746","134,122","42,128","3,497",0.475,0.440,,0.514,0.353,0.338
46520,"Urban Honolulu, HI","21,577","185,366","95,070","413,923",0.432,0.255,0.447,0.347,0.388,0.462
46540,"Utica-Rome, NY","14,237","251,519","13,823","9,618",0.643,0.498,,0.551,,0.301
46660,"Valdosta, GA","48,983","80,741","8,690","2,298",0.455,,,,,
46700,"Vallejo, CA","59,862","169,436","112,098","64,546",0.438,0.248,0.404,0.304,0.287,0.279
47020,"Victoria, TX","5,731","45,991","44,814",983,,0.314,,0.367,,
47220,"Vineland-Bridgeton, NJ","27,464","73,427","45,966","1,975",0.464,0.417,,0.487,0.401,0.382
47260,"Virginia Beach-Norfolk-Newport News, VA-NC","527,850","980,510","110,913","64,031",0.469,0.293,0.401,0.359,0.471,0.391
47300,"Visalia, CA","5,973","135,372","291,867","14,622",,0.353,0.452,0.377,,
47380,"Waco, TX","39,061","148,355","66,949","3,745",0.509,0.354,,0.428,0.330,0.313
47460,"Walla Walla, WA",837,"43,269","12,631",898,,0.274,,0.282,,
47580,"Warner Robins, GA","56,629","98,827","11,924","4,838",0.274,0.277,,0.296,,0.353
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV","1,515,787","2,829,862","930,476","601,571",0.614,0.404,0.415,0.484,0.564,0.506
47940,"Waterloo-Cedar Falls, IA","12,074","144,829","6,104","3,034",0.605,,,,,
48300,"Wenatchee, WA",353,"77,687","33,236","1,007",,0.301,,0.297,,
48620,"Wichita, KS","47,108","459,516","80,389","23,098",0.598,0.391,0.472,0.436,0.506,0.494
48660,"Wichita Falls, TX","13,148","104,299","25,741","2,731",0.479,0.322,,0.364,0.382,0.377
48900,"Wilmington, NC","39,741","212,008","15,774","3,096",0.467,0.370,,0.393,0.550,0.459
49020,"Winchester, VA-WV","6,270","111,711","11,480","1,774",,0.403,,0.426,,
49180,"Winston-Salem, NC","115,005","453,378","65,744","10,917",0.578,0.374,0.526,0.464,0.365,0.339
49340,"Worcester, MA-CT","37,559","734,527","101,421","39,825",0.533,0.493,0.508,0.518,0.429,0.408
49420,"Yakima, WA","1,818","109,974","120,080","2,249",,0.491,,0.515,,
49620,"York-Hanover, PA","23,061","372,701","30,643","6,341",0.523,0.474,,0.506,0.295,0.270
49660,"Youngstown-Warren-Boardman, OH-PA","57,288","457,587","17,895","3,655",0.670,0.450,,0.500,0.506,0.453
49700,"Yuba City, CA","4,175","87,257","49,389","19,167",,0.265,0.380,0.270,,
49740,"Yuma, AZ","3,651","65,003","128,465","2,347",,0.460,,0.488,,
